original_title,budget,runtime,original_language,release_date
Toy Story,30000000,81.0,en,1995-10-30
Jumanji,65000000,104.0,en,1995-12-15
Grumpier Old Men,0,101.0,en,1995-12-22
Waiting to Exhale,16000000,127.0,en,1995-12-22
Father of the Bride Part II,0,106.0,en,1995-02-10
Heat,60000000,170.0,en,1995-12-15
Sabrina,58000000,127.0,en,1995-12-15
Tom and Huck,0,97.0,en,1995-12-22
Sudden Death,35000000,106.0,en,1995-12-22
GoldenEye,58000000,130.0,en,1995-11-16
The American President,62000000,106.0,en,1995-11-17
Dracula: Dead and Loving It,0,88.0,en,1995-12-22
Balto,0,78.0,en,1995-12-22
Nixon,44000000,192.0,en,1995-12-22
Cutthroat Island,98000000,119.0,en,1995-12-22
Casino,52000000,178.0,en,1995-11-22
Sense and Sensibility,16500000,136.0,en,1995-12-13
Four Rooms,4000000,98.0,en,1995-12-09
Ace Ventura: When Nature Calls,30000000,90.0,en,1995-11-10
Money Train,60000000,103.0,en,1995-11-21
Get Shorty,30250000,105.0,en,1995-10-20
Copycat,0,124.0,en,1995-10-27
Assassins,50000000,132.0,en,1995-10-06
Powder,0,111.0,en,1995-10-27
Leaving Las Vegas,3600000,112.0,en,1995-10-27
Othello,0,123.0,en,1995-12-15
Now and Then,12000000,100.0,en,1995-10-20
Persuasion,0,104.0,en,1995-09-27
La Cité des Enfants Perdus,18000000,108.0,fr,1995-05-16
Dangerous Minds,0,99.0,en,1995-08-11
Twelve Monkeys,29500000,129.0,en,1995-12-29
Babe,30000000,89.0,en,1995-07-18
Carrington,0,121.0,en,1995-11-08
Dead Man Walking,11000000,122.0,en,1995-12-29
Across the Sea of Time,0,51.0,en,1995-10-20
It Takes Two,0,101.0,en,1995-11-17
Clueless,12000000,97.0,en,1995-07-19
Richard III,0,104.0,en,1995-12-29
Dead Presidents,10000000,119.0,en,1995-10-06
Restoration,19000000,117.0,en,1995-12-29
Mortal Kombat,18000000,101.0,en,1995-08-18
To Die For,20000000,106.0,en,1995-05-20
How To Make An American Quilt,10000000,116.0,en,1995-10-06
Se7en,33000000,127.0,en,1995-09-22
Pocahontas,55000000,81.0,en,1995-06-14
When Night Is Falling,0,96.0,en,1995-05-05
The Usual Suspects,6000000,106.0,en,1995-07-19
Guardian Angel,0,93.0,en,1994-11-22
Mighty Aphrodite,15000000,95.0,en,1995-09-13
Lamerica,0,116.0,it,1994-01-01
The Big Green,0,100.0,en,1995-09-29
Georgia,0,115.0,en,1995-05-19
Kids of the Round Table,0,89.0,en,1997-07-08
Home for the Holidays,0,103.0,en,1995-11-02
Il postino,0,108.0,it,1994-09-22
Le confessionnal,0,100.0,fr,1995-09-29
The Indian in the Cupboard,45000000,96.0,en,1995-07-14
Eye for an Eye,20000000,101.0,en,1996-01-12
Mr. Holland's Opus,0,137.0,en,1995-12-29
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,89.0,en,1996-01-12
Two If by Sea,0,96.0,en,1996-01-12
Bio-Dome,15000000,88.0,en,1996-01-12
Lawnmower Man 2: Beyond Cyberspace,0,92.0,en,1996-01-12
Two Bits,0,85.0,en,1995-10-22
Gazon maudit,0,95.0,fr,1995-02-08
